symbol	gene	FDR_3	logFC_3	FDR_6	logFC_6	FDR_12	logFC_12	FDR_24	logFC_24	FDR_48	logFC_48	biotype
ZNF331	ENSG00000130844.16	8.395499501482602e-134	4.800333081324851	3.381687092799985e-201	2.920219045535692	4.124271675108854e-23	0.9175201681993055	5.206895592924996e-4	0.41358832543567975	0.004914172725816411	0.4063509738301207	protein_coding
RASD1	ENSG00000108551.4	2.2980414609868558e-117	4.435826106135722	0	4.599718472790571	0	4.357391258093338	4.985019325819966e-170	3.2921145031047834	3.370571040183963e-301	3.5999862712312116	protein_coding
HOXA5	ENSG00000106004.4	2.4783323041423343e-101	3.4522794313839253	1.5382587771783918e-87	2.4939793111952246	3.1895717245260892e-40	1.3014252030662001	2.930798290358158e-7	0.5803454832767468	8.34143685075463e-12	0.6784645614838483	protein_coding
TOB1	ENSG00000141232.4	1.4874242041991482e-91	3.0597498405410186	1.955595815075226e-200	2.5538513679753425	2.5331617153670596e-148	1.8722358674880961	7.350627987144431e-57	1.2456069122070899	1.3437272804900503e-54	1.6405282599582844	protein_coding
LINC00473	ENSG00000223414.2	5.267240973419612e-88	5.644449967916584	0	7.143744293268463	2.2858609307757403e-269	8.133838670193635	1.6801208498500338e-106	7.1445692683997875	1.758553854543049e-178	9.179736919602474	lincRNA
NR4A2	ENSG00000153234.13	1.2960060280770365e-84	4.861762740806589	3.309376087488987e-78	3.581905935014578	0.014594041311347155	0.8398897440861186	0.3686958762859134	0.4197617423466887	0.1594922081053701	0.46388600577192557	protein_coding
FGF9	ENSG00000102678.6	1.1976846257597841e-79	4.732311827903581	1.0372539051195105e-79	4.308185136837897	4.0934479559737614e-133	4.5905328968874874	6.865834139701407e-62	4.516921449189508	9.685828429443191e-115	4.5432320612821435	protein_coding
DDIT4	ENSG00000168209.4	2.318153850173415e-74	2.1911622822884946	8.101681120319079e-123	1.957760852520824	5.337339295010309e-31	0.9401922171025112	2.141241983530131e-21	0.7596482199228334	0.7827029114672037	0.03385694425598909	protein_coding
USP2	ENSG00000036672.15	3.9761448597998904e-68	2.829506718798153	6.321421718738111e-25	2.157689309629906	4.437676233061272e-11	1.4641637260956297	0.0021941742276412636	0.8106428267950935	0.09198891406408788	0.6442737717566905	protein_coding
NR4A3	ENSG00000119508.17	2.6459100018615827e-61	3.425856624866599	0	4.250396786221125	0	5.834209532022521	3.746639538262419e-251	4.501165412108215	5.146577427067698e-194	4.022266794373916	protein_coding
CH507-42P11.8	ENSG00000275993.2	5.69577627408808e-60	4.0594828496390924	1.615975931595959e-181	3.175701630949102	1.3770760319662697e-113	2.660260766549026	5.178593047177742e-49	1.867071610343739	9.305745270682263e-58	2.193775910610058	protein_coding
KLHL15	ENSG00000174010.9	1.2295754313576918e-59	2.102369844111459	4.3914894927729455e-71	1.8470971664948004	1.5022149514265266e-86	1.743819301449404	1.4190674346250434e-38	1.4536781855530096	6.550795852787018e-51	1.8920064342355445	protein_coding
ALAS1	ENSG00000023330.14	1.980188055629329e-58	2.2971514469728445	1.2728418766681358e-181	1.9797830365156308	0	2.7784682964224805	2.1996711929693982e-288	2.969989717384184	8.555619535294334e-307	3.2074568391229947	protein_coding
AVPI1	ENSG00000119986.6	2.1854172358604642e-58	3.3064863964346927	2.144686102595275e-200	3.7901425357767042	6.2362821838253574e-229	3.393555912215898	2.323723396748452e-149	2.675171096948508	5.896306875237502e-132	2.381381595005586	protein_coding
PCK1	ENSG00000124253.10	3.1893724786536378e-55	10.215581255694977	1.75304811965257e-108	9.043558765525026	5.003255346420223e-42	9.2804120379711	NA	NA	NA	NA	protein_coding
THAP2	ENSG00000173451.6	3.7193622388483755e-54	3.246781948086461	1.9933409834004163e-118	3.3854202950897854	5.003591059554128e-6	0.5908456088387761	7.780874104099855e-6	0.6663679474860092	1.0254822915895282e-13	1.0383212135159008	protein_coding
TUBA4A	ENSG00000127824.13	2.80787471653761e-49	1.893839139054587	6.819801841546113e-153	2.7298930136142827	0	3.2452126401181043	8.880770259052173e-255	2.76281851479358	5.800999925715109e-183	2.7466381048826327	protein_coding
CHMP1B	ENSG00000255112.2	4.398036546533417e-44	1.6240631073798364	1.5234678349443783e-149	1.9911161049945896	7.366075032776458e-15	0.5054590260517074	0.0013295171506376823	0.28079391727998043	8.744269108074328e-5	0.3569468428791056	protein_coding
CD83	ENSG00000112149.9	4.984006378495647e-42	2.4801077248847223	3.782660220830227e-55	2.618289968446165	1.4981937781719802e-169	4.055952680804476	5.3437093784765544e-177	3.946934247585755	1.4341804718549356e-173	4.175025247861323	protein_coding
