symbol	gene	FDR_3	logFC_3	FDR_6	logFC_6	FDR_12	logFC_12	FDR_24	logFC_24	FDR_48	logFC_48	biotype
RGS2	ENSG00000116741.7	4.875233458960764e-52	1.9101656664577527	3.7388472615804327e-203	2.2886356894235416	8.524005546159765e-29	1.634109305577111	5.546344853999735e-23	0.9790222990760804	0.918185965638316	0.03412060272806509	protein_coding
BTG2	ENSG00000159388.5	5.5396498282759785e-37	2.1138070129560074	7.353411624404745e-15	1.166145098583226	2.3674699722878866e-12	1.3784885805384064	1.861615538989967e-5	0.5506871087116886	0.7247959558337446	0.07097355783607415	protein_coding
TXNIP	ENSG00000265972.5	3.5891564102544643e-35	-1.2704728017263736	4.350936797317113e-40	-1.1999453489708034	1.6469313104873283e-17	-1.0830986637641415	3.8026833879596936e-10	-0.6463670985436545	2.1038657832925884e-6	0.39684744052948023	protein_coding
CTD-2550O8.5	ENSG00000167774.2	8.968674473211935e-8	7.141614662937341	NA	NA	NA	NA	NA	NA	NA	NA	protein_coding
NR4A2	ENSG00000153234.13	8.742094351879097e-7	2.13965149670643	1.1783853056750733e-79	3.5238727719785867	1.1950624111580157e-35	3.252527133463416	6.33822648438755e-4	1.0724993632255289	0.42472989526520155	-0.4391685768505189	protein_coding
NR4A1	ENSG00000123358.19	2.5184745852649567e-6	1.3006942660826213	3.882337319107792e-192	2.7261723133416775	4.1076138511284614e-117	3.9678629657838105	5.767868245340575e-30	1.9167593479736735	0.16455760193225102	-0.21712404955149053	protein_coding
C11orf96	ENSG00000187479.5	2.6256072877460096e-6	1.3217651132002297	2.0862955510222532e-57	1.564783020737402	9.08282824750601e-25	1.8813464890917226	0.003372243420767301	0.5320046490723398	2.4526557624408154e-5	-0.638070820328576	protein_coding
RCAN1	ENSG00000159200.17	6.934177331033725e-6	0.5974828422197689	1.2554105633450431e-15	0.5615378071030553	0.907767246448795	0.054950089938436614	0.6092936538847935	-0.08941941760952676	9.958418975838571e-6	-0.3415201110303818	protein_coding
RASD1	ENSG00000108551.4	1.0169812651673617e-5	1.3896204264902592	7.322797722904576e-20	1.4205809367740592	7.513728719300458e-31	2.036955964377949	3.07295241098464e-5	0.7634272680079128	0.8207955706977991	-0.07109450493245864	protein_coding
NR4A3	ENSG00000119508.17	1.09122491548264e-5	1.3815009416404507	7.668901104920605e-39	2.185543117450023	3.954768845708295e-46	3.58449208495571	3.411757411716384e-16	1.8225492102580314	0.428544606685538	0.31685378922102064	protein_coding
LRRC8B	ENSG00000197147.13	3.809484531761139e-5	0.7316423610014328	2.2486528817036507e-45	1.2301605030331089	6.388410570792544e-6	0.8932304243083878	0.007097664310290272	0.3330861773416056	0.7777698108596374	0.04603892561257502	protein_coding
ZNF331	ENSG00000130844.16	4.0737223318574075e-5	1.2025072671512094	0.8919691978468073	0.06363780091533147	0.9598563126325509	0.0384796106037249	0.9882437920641977	-0.007709783029837639	0.5178684141654383	0.13312444703074736	protein_coding
KCNK1	ENSG00000135750.14	8.247539872726803e-4	0.9174591483339496	2.9687689364652378e-30	1.4074721727505222	5.507945165372459e-5	0.9753079039587959	6.857432233887818e-5	0.7102370121342612	0.9891279182575209	0.0054026555125042865	protein_coding
ZFAND5	ENSG00000107372.12	9.293083727053319e-4	0.5507635656263831	1.5742722147898785e-35	0.9487818423818067	0.0012892078826997233	0.5878272545501126	0.9572981383140223	-0.01706233391881205	0.5965940697263467	-0.06608561370937178	protein_coding
NSFP1	ENSG00000260075.1	0.0016332077363631558	-3.4253100889651087	NA	NA	NA	NA	NA	NA	NA	NA	unprocessed_pseudogene
EGR3	ENSG00000179388.8	0.002169212629724287	0.8144674215388105	3.4882892297984205e-4	0.6730231857811654	0.9794297619298283	-0.04390911520791854	0.13700916301598354	-0.881975890812691	0.760550657556997	-0.14335745331638589	protein_coding
RNF19B	ENSG00000116514.16	0.0022617518962086644	0.6707250843506921	3.990166610847685e-7	0.563150695579094	3.2991160659683626e-12	0.9728085404058989	0.049280774822770136	0.2937400436291396	0.8894782016561937	-0.03181994282878327	protein_coding
ZNF737	ENSG00000237440.8	0.004069752655568209	-1.1805656007760548	0.05668232892125175	-0.5628831425624091	3.607123309574963e-4	-1.0680702661292636	0.018799299448965547	-0.5238677674403076	0.9456786536587128	0.022713524246660267	protein_coding
DNAJB4	ENSG00000162616.8	0.004658050384141903	0.422957219623489	1.8383174507425255e-28	0.9518464136602269	6.154290045838952e-5	0.6379098740342947	0.01374254454898362	0.2475148077932923	0.42201294474837275	0.09459370575213485	protein_coding
CLCF1	ENSG00000175505.10	0.00840269548370452	0.5417052262494737	0.07992425146727751	0.27197977623549763	0.6723792832345274	0.2479616352294819	0.9567824031830552	-0.02675946934704207	0.13862484338362674	-0.2805060839730078	protein_coding
IER3	ENSG00000137331.11	0.008424628227643675	0.43587558049574154	0.0014368323168492245	0.3305063588020004	0.7802646327352748	0.14899843537041055	0.10233830036485381	-0.20701635690948075	8.228892175569506e-5	-0.40418475006543453	protein_coding
GEM	ENSG00000164949.7	0.00871844958245996	0.457698407028888	0.4672290072482821	0.16334283667938074	0.34545992838116896	-0.2772769042939899	0.13559520352396798	-0.24232432371741305	0.003644528162429294	-0.3626842433072999	protein_coding
SLC19A2	ENSG00000117479.12	0.00871844958245996	0.5246390810668744	0.27772453673414305	0.31167227369852035	0.48760486231526484	0.29990833398878464	0.03421142638187885	0.3382512730718182	6.688701536599107e-4	0.40880770945463885	protein_coding
