UniqueCount	AmbigCount
640	6357
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	19
0	0
0	92
20	5694
0	0
0	2
0	13
0	3
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	7
25	1041
0	2
0	3
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	2
0	4
0	50
3	622
0	1
0	21
0	0
0	0
0	4
0	2
0	0
0	7
0	88
68	1307
0	58
197	901
0	37
0	16
0	8
0	63
0	3
0	1
0	0
0	4
0	1
2	58
0	0
0	3
0	0
166	1961
0	0
0	0
0	0
0	0
0	11
0	11
0	0
0	3
0	0
0	0
0	0
0	0
0	10
0	10
0	1
0	3
0	5
0	2
0	7
0	7
0	5
0	5
0	2
0	0
4329	3705
0	1
0	0
1	17
0	0
0	0
0	0
0	0
0	0
0	0
0	1
26	97
69	443
636	1702
0	9
0	230
0	1
323	312
1	208
0	0
0	1
0	0
0	35
0	0
0	0
0	0
0	0
5	88
0	1144
0	0
0	0
0	4
0	5
0	6
479	392
0	0
0	8
0	3
0	1
0	6
0	11
0	1
0	0
0	1
0	1
0	2
0	5
0	1
0	1
0	1
0	1
0	18
1	3
0	387
0	1
0	0
0	1
0	3
0	3
0	0
284	176
0	28
0	0
0	116
0	0
0	0
0	0
0	2
0	1
0	16
0	3
0	5
0	0
0	3
0	3
0	4
0	8
5	12
0	0
0	6
0	5
0	0
0	0
0	2
7	16
0	13
0	14
0	1
0	2
0	0
0	0
0	0
0	0
9	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	72
7	117
53	67
0	120
0	0
0	27
1	5
0	2
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	24
0	0
0	0
0	1
0	2
0	1
0	2
0	2
4	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
3	16
0	3
0	0
0	0
0	4
0	0
0	1
0	3
0	3
0	3
0	10
136	33
0	8
0	10
0	11
0	12
0	10
0	10
0	1
0	7
0	4
0	2
0	2
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
