Well,Target,Sample,Cq
A01,CYP11B2,Ang0hrRep1_MinusRT,35.19505228
A02,CYP11B2,Ang0hrRep1_PlusRT,33.22370499
A03,CYP11B2,Ang0.25hrRep1_MinusRT,34.21958648
A04,CYP11B2,Ang0.25hrRep1_PlusRT,32.59357597
A05,CYP11B2,Ang0.5hrRep1_MinusRT,34.32890224
A06,CYP11B2,Ang0.5hrRep1_PlusRT,33.24125788
A07,CYP11B2,Ang0.75hrRep1_MinusRT,34.76716299
A08,CYP11B2,Ang0.75hrRep1_PlusRT,32.76206375
A09,CYP11B2,Ang1hrRep1_MinusRT,34.90865721
A10,CYP11B2,Ang1hrRep1_PlusRT,33.36407316
A11,CYP11B2,Ang1.5hrRep1_MinusRT,35.57367714
A12,CYP11B2,Ang1.5hrRep1_PlusRT,33.59087744
A13,CYP11B2,Ang2hrRep1_MinusRT,37.00399336
A14,CYP11B2,Ang2hrRep1_PlusRT,33.8239161
A15,CYP11B2,Ang3hrRep1_MinusRT,35.15369746
A16,CYP11B2,Ang3hrRep1_PlusRT,32.61958853
A17,CYP11B2,Ang4hrRep1_PlusRT,31.82286267
A18,CYP11B2,Ang4hrRep1_MinusRT,35.79235629
A19,CYP11B2,Ang6hrRep1_PlusRT,30.36558137
A20,CYP11B2,Ang6hrRep1_MinusRT,34.26104598
A21,CYP11B2,Ang8hrRep1_PlusRT,29.56482279
A22,CYP11B2,Ang8hrRep1_MinusRT,36.48522866
A23,CYP11B2,Ang24hrRep1_PlusRT,30.45876902
A24,CYP11B2,Ang24hrRep1_MinusRT,37.19428853
B01,CYP11B2,Ang0hrRep1_MinusRT,35.26334067
B02,CYP11B2,Ang0hrRep1_PlusRT,33.00056726
B03,CYP11B2,Ang0.25hrRep1_MinusRT,34.10119882
B04,CYP11B2,Ang0.25hrRep1_PlusRT,33.18030213
B05,CYP11B2,Ang0.5hrRep1_MinusRT,34.42316206
B06,CYP11B2,Ang0.5hrRep1_PlusRT,33.19289439
B07,CYP11B2,Ang0.75hrRep1_MinusRT,34.43722308
B08,CYP11B2,Ang0.75hrRep1_PlusRT,33.49939771
B09,CYP11B2,Ang1hrRep1_MinusRT,35.00254635
B10,CYP11B2,Ang1hrRep1_PlusRT,33.28662413
B11,CYP11B2,Ang1.5hrRep1_MinusRT,35.06061579
B12,CYP11B2,Ang1.5hrRep1_PlusRT,34.44093133
B13,CYP11B2,Ang2hrRep1_MinusRT,37.02328942
B14,CYP11B2,Ang2hrRep1_PlusRT,33.98943057
B15,CYP11B2,Ang3hrRep1_MinusRT,35.5292133
B16,CYP11B2,Ang3hrRep1_PlusRT,33.10716779
B17,CYP11B2,Ang4hrRep1_PlusRT,31.69161465
B18,CYP11B2,Ang4hrRep1_MinusRT,36.04371228
B19,CYP11B2,Ang6hrRep1_PlusRT,30.54317184
B20,CYP11B2,Ang6hrRep1_MinusRT,35.25942299
B21,CYP11B2,Ang8hrRep1_PlusRT,29.43807713
