Name,Well,Read:450,Read:540,Read:570
CPEB4_s37202_unstim,A1,0.571,0.053,0.049
CPEB4_s37201_unstim,B1,0.647,0.05,0.045
ELAVL1_s4610_unstim,C1,0.489,0.049,0.045
BTG2_s15386_unstim,D1,0.469,0.049,0.046
BTG2_s15385_unstim,E1,0.512,0.052,0.048
water_unstim,F1,0.716,0.052,0.046
std1,G1,0.165,0.047,0.046
std1,H1,0.158,0.045,0.044
CPEB4_s37202_unstim,A2,0.619,0.05,0.046
CPEB4_s37201_unstim,B2,0.536,0.048,0.044
ELAVL1_s4610_unstim,C2,0.421,0.047,0.044
BTG2_s15386_unstim,D2,0.487,0.048,0.044
BTG2_s15385_unstim,E2,0.428,0.052,0.049
water_unstim,F2,0.702,0.051,0.045
std2,G2,0.272,0.048,0.046
std2,H2,0.27,0.045,0.043
CPEB4_s37202_unstim,A3,0.714,0.051,0.045
CPEB4_s37201_unstim,B3,0.527,0.048,0.044
ELAVL1_s4610_unstim,C3,0.422,0.048,0.044
BTG2_s15386_unstim,D3,0.458,0.053,0.049
BTG2_s15385_unstim,E3,0.422,0.048,0.045
water_unstim,F3,0.718,0.051,0.046
std3,G3,0.447,0.05,0.046
std3,H3,0.433,0.048,0.044
CPEB4_s37202_unstim,A4,0.531,0.049,0.045
CPEB4_s37201_unstim,B4,0.493,0.048,0.044
ELAVL1_s4610_unstim,C4,0.426,0.048,0.045
BTG2_s15386_unstim,D4,0.489,0.048,0.044
BTG2_s15385_unstim,E4,0.452,0.048,0.045
water_unstim,F4,0.708,0.052,0.046
std4,G4,0.683,0.052,0.047
std4,H4,0.68,0.051,0.046
CPEB4_s37202_unstim,A5,0.509,0.049,0.046
CPEB4_s37201_unstim,B5,0.436,0.047,0.044
ELAVL1_s4610_unstim,C5,0.425,0.048,0.045
BTG2_s15386_unstim,D5,0.519,0.05,0.046
BTG2_s15385_unstim,E5,0.452,0.049,0.046
water_unstim,F5,0.7,0.052,0.046
std5,G5,0.816,0.055,0.048
std5,H5,0.792,0.053,0.047
CPEB4_s37202_unstim,A6,0.566,0.052,0.047
CPEB4_s37201_unstim,B6,0.523,0.056,0.052
ELAVL1_s4610_unstim,C6,0.429,0.05,0.047
BTG2_s15386_unstim,D6,0.485,0.051,0.048
BTG2_s15385_unstim,E6,0.449,0.059,0.056
water_unstim,F6,0.693,0.051,0.045
std6,G6,0.901,0.058,0.047
std6,H6,0.871,0.053,0.045
CPEB4_s37202_stim,A7,0.369,0.058,0.055
CPEB4_s37201_stim,B7,0.245,0.045,0.043
ELAVL1_s4610_stim,C7,0.168,0.051,0.05
BTG2_s15386_stim,D7,0.187,0.044,0.043
BTG2_s15385_stim,E7,0.155,0.044,0.043
water_stim,F7,0.375,0.048,0.045
std7,G7,0.898,0.054,0.046
std7,H7,0.892,0.053,0.046
CPEB4_s37202_stim,A8,0.327,0.046,0.043
CPEB4_s37201_stim,B8,0.359,0.046,0.044
ELAVL1_s4610_stim,C8,0.154,0.044,0.043
BTG2_s15386_stim,D8,0.197,0.046,0.045
BTG2_s15385_stim,E8,0.186,0.045,0.044
water_stim,F8,0.396,0.047,0.045
nsb,G8,0.054,0.042,0.042
nsb,H8,0.052,0.042,0.042
CPEB4_s37202_stim,A9,0.289,0.045,0.043
CPEB4_s37201_stim,B9,0.286,0.048,0.046
ELAVL1_s4610_stim,C9,0.145,0.049,0.049
BTG2_s15386_stim,D9,0.196,0.051,0.05
BTG2_s15385_stim,E9,0.174,0.046,0.046
water_stim,F9,0.441,0.058,0.055
mediaOnly,G9,0.853,0.06,0.052
mediaOnly,H9,0.86,0.055,0.048
CPEB4_s37202_stim,A10,0.321,0.051,0.046
CPEB4_s37201_stim,B10,0.263,0.045,0.043
ELAVL1_s4610_stim,C10,0.19,0.044,0.043
BTG2_s15386_stim,D10,0.187,0.044,0.043
BTG2_s15385_stim,E10,0.207,0.045,0.044
water_stim,F10,0.425,0.047,0.044
mediaOnly,G10,0.88,0.055,0.048
mediaOnly,H10,0.849,0.054,0.047
CPEB4_s37202_stim,A11,0.343,0.049,0.047
CPEB4_s37201_stim,B11,0.335,0.046,0.044
ELAVL1_s4610_stim,C11,0.185,0.053,0.053
BTG2_s15386_stim,D11,0.191,0.045,0.044
BTG2_s15385_stim,E11,0.199,0.045,0.044
water_stim,F11,0.453,0.051,0.048
mediaOnly,G11,0.882,0.052,0.045
mediaOnly,H11,0.858,0.054,0.047
CPEB4_s37202_stim,A12,0.376,0.047,0.044
CPEB4_s37201_stim,B12,0.33,0.046,0.044
ELAVL1_s4610_stim,C12,0.185,0.045,0.044
BTG2_s15386_stim,D12,0.154,0.045,0.044
BTG2_s15385_stim,E12,0.206,0.047,0.046
water_stim,F12,0.436,0.047,0.044
mediaOnly,G12,0.87,0.054,0.047
mediaOnly,H12,0.844,0.053,0.047
