Name,Well,450,540,570
85R1_unstim,A1,0.722,0.052,0.046
85R2_unstim,B1,0.816,0.052,0.046
86R1_unstim,C1,0.689,0.051,0.046
86R2_unstim,D1,0.732,0.053,0.047
water1_unstim,E1,0.72,0.051,0.045
water2_unstim,F1,0.785,0.053,0.047
std1,G1,0.167,0.044,0.043
std1,H1,0.172,0.044,0.043
85R1_unstim,A2,0.649,0.05,0.045
85R2_unstim,B2,0.757,0.052,0.046
86R1_unstim,C2,0.68,0.051,0.046
86R2_unstim,D2,0.704,0.051,0.046
water1_unstim,E2,0.702,0.051,0.046
water2_unstim,F2,0.761,0.053,0.047
std2,G2,0.281,0.047,0.045
std2,H2,0.305,0.045,0.044
85R1_unstim,A3,0.705,0.052,0.046
85R2_unstim,B3,0.795,0.053,0.047
86R1_unstim,C3,0.71,0.052,0.046
86R2_unstim,D3,0.708,0.052,0.046
water1_unstim,E3,0.696,0.05,0.045
water2_unstim,F3,0.775,0.052,0.046
std3,G3,0.472,0.047,0.044
std3,H3,0.486,0.048,0.044
85R1_unstim,A4,0.685,0.05,0.045
85R2_unstim,B4,0.755,0.052,0.046
86R1_unstim,C4,0.686,0.051,0.046
86R2_unstim,D4,0.721,0.051,0.045
water1_unstim,E4,0.731,0.051,0.045
water2_unstim,F4,0.726,0.05,0.045
std4,G4,0.689,0.051,0.045
std4,H4,0.672,0.05,0.045
85R1_unstim,A5,0.668,0.05,0.045
85R2_unstim,B5,0.71,0.051,0.045
86R1_unstim,C5,0.683,0.051,0.045
86R2_unstim,D5,0.712,0.05,0.045
water1_unstim,E5,0.68,0.051,0.045
water2_unstim,F5,0.76,0.052,0.046
std5,G5,0.797,0.052,0.046
std5,H5,0.899,0.053,0.046
85R1_unstim,A6,0.714,0.052,0.046
85R2_unstim,B6,0.687,0.051,0.046
86R1_unstim,C6,0.731,0.052,0.046
86R2_unstim,D6,0.73,0.052,0.045
water1_unstim,E6,0.745,0.051,0.046
water2_unstim,F6,0.769,0.052,0.046
std6,G6,0.96,0.054,0.046
std6,H6,0.981,0.054,0.046
85R1_stim,A7,0.296,0.047,0.045
85R2_stim,B7,0.446,0.048,0.045
86R1_stim,C7,0.373,0.047,0.045
86R2_stim,D7,0.363,0.045,0.043
water1_stim,E7,0.365,0.046,0.043
water2_stim,F7,0.485,0.046,0.043
std7,G7,0.994,0.054,0.046
std7,H7,1.071,0.054,0.046
85R1_stim,A8,0.29,0.046,0.044
85R2_stim,B8,0.467,0.042,0.038
86R1_stim,C8,0.366,0.046,0.044
86R2_stim,D8,0.376,0.046,0.044
water1_stim,E8,0.351,0.046,0.044
water2_stim,F8,0.472,0.047,0.044
nsb,G8,0.049,0.042,0.042
nsb,H8,0.056,0.048,0.049
85R1_stim,A9,0.278,0.045,0.044
85R2_stim,B9,0.392,0.048,0.045
86R1_stim,C9,0.306,0.046,0.044
86R2_stim,D9,0.354,0.045,0.043
water1_stim,E9,0.3,0.044,0.042
water2_stim,F9,0.453,0.047,0.044
mediaOnly,G9,0.769,0.05,0.044
mediaOnly,H9,0.941,0.055,0.048
85R1_stim,A10,0.307,0.045,0.043
85R2_stim,B10,0.385,0.048,0.045
86R1_stim,C10,0.33,0.046,0.044
86R2_stim,D10,0.352,0.044,0.041
water1_stim,E10,0.343,0.045,0.043
water2_stim,F10,0.466,0.047,0.044
mediaOnly,G10,0.845,0.053,0.046
mediaOnly,H10,0.77,0.051,0.045
85R1_stim,A11,0.287,0.045,0.043
85R2_stim,B11,0.395,0.046,0.044
86R1_stim,C11,0.328,0.048,0.046
86R2_stim,D11,0.332,0.046,0.043
water1_stim,E11,0.347,0.046,0.044
water2_stim,F11,0.439,0.047,0.044
mediaOnly,G11,0.806,0.052,0.046
mediaOnly,H11,0.844,0.052,0.045
85R1_stim,A12,0.29,0.045,0.043
85R2_stim,B12,0.412,0.046,0.043
86R1_stim,C12,0.33,0.046,0.044
86R2_stim,D12,0.365,0.047,0.044
water1_stim,E12,0.387,0.051,0.048
water2_stim,F12,0.552,0.055,0.05
mediaOnly,G12,0.899,0.054,0.047
mediaOnly,H12,0.91,0.054,0.046
