Name,Well,"Fluor:530/25,590/35"
MSI2_s42756_unstim,A1,1313
NR5A1_s5393_unstim,B1,2450
NR5A1_s5392_unstim,C1,1469
ZFP36_s14979_unstim,D1,970
ZFP36_s14978_unstim,E1,2199
water_unstim,F1,2310
,G1,1
,H1,2
MSI2_s42756_unstim,A2,1227
NR5A1_s5393_unstim,B2,2660
NR5A1_s5392_unstim,C2,1407
ZFP36_s14979_unstim,D2,895
ZFP36_s14978_unstim,E2,2756
water_unstim,F2,1901
,G2,1
,H2,1
MSI2_s42756_unstim,A3,1499
NR5A1_s5393_unstim,B3,2438
NR5A1_s5392_unstim,C3,1623
ZFP36_s14979_unstim,D3,1003
ZFP36_s14978_unstim,E3,2421
water_unstim,F3,2032
,G3,1
,H3,1
MSI2_s42756_unstim,A4,1371
NR5A1_s5393_unstim,B4,2707
NR5A1_s5392_unstim,C4,1508
ZFP36_s14979_unstim,D4,1147
ZFP36_s14978_unstim,E4,2700
water_unstim,F4,2449
,G4,0
,H4,0
MSI2_s42756_unstim,A5,1517
NR5A1_s5393_unstim,B5,2514
NR5A1_s5392_unstim,C5,1499
ZFP36_s14979_unstim,D5,850
ZFP36_s14978_unstim,E5,2436
water_unstim,F5,2235
,G5,1
,H5,0
MSI2_s42756_unstim,A6,1570
NR5A1_s5393_unstim,B6,3293
NR5A1_s5392_unstim,C6,1502
ZFP36_s14979_unstim,D6,902
ZFP36_s14978_unstim,E6,2571
water_unstim,F6,2048
,G6,1
,H6,1
MSI2_s42756_stim,A7,1443
NR5A1_s5393_stim,B7,3208
NR5A1_s5392_stim,C7,1706
ZFP36_s14979_stim,D7,937
ZFP36_s14978_stim,E7,2692
water_stim,F7,2135
,G7,1
,H7,1
MSI2_s42756_stim,A8,1569
NR5A1_s5393_stim,B8,3028
NR5A1_s5392_stim,C8,1677
ZFP36_s14979_stim,D8,1041
ZFP36_s14978_stim,E8,2448
water_stim,F8,1831
,G8,1
,H8,1
MSI2_s42756_stim,A9,1431
NR5A1_s5393_stim,B9,3175
NR5A1_s5392_stim,C9,1651
ZFP36_s14979_stim,D9,1134
ZFP36_s14978_stim,E9,2677
water_stim,F9,1805
mediaOnly,G9,243
mediaOnly,H9,240
MSI2_s42756_stim,A10,1409
NR5A1_s5393_stim,B10,2882
NR5A1_s5392_stim,C10,1764
ZFP36_s14979_stim,D10,935
ZFP36_s14978_stim,E10,2634
water_stim,F10,2003
mediaOnly,G10,255
mediaOnly,H10,249
MSI2_s42756_stim,A11,1667
NR5A1_s5393_stim,B11,2743
NR5A1_s5392_stim,C11,1480
ZFP36_s14979_stim,D11,852
ZFP36_s14978_stim,E11,2535
water_stim,F11,1873
mediaOnly,G11,242
mediaOnly,H11,241
MSI2_s42756_stim,A12,1434
NR5A1_s5393_stim,B12,2531
NR5A1_s5392_stim,C12,1423
ZFP36_s14979_stim,D12,923
ZFP36_s14978_stim,E12,2237
water_stim,F12,1868
mediaOnly,G12,236
mediaOnly,H12,234
