Name,Well,30min,24hr
85R1_unstim,A1,236,3490
85R2_unstim,B1,151,2721
86R1_unstim,C1,203,3590
86R2_unstim,D1,202,3343
water1_unstim,E1,213,3374
water2_unstim,F1,162,2557
,G1,0,0
,H1,0,0
85R1_unstim,A2,248,3510
85R2_unstim,B2,144,2632
86R1_unstim,C2,197,3466
86R2_unstim,D2,216,3260
water1_unstim,E2,226,3351
water2_unstim,F2,163,2570
,G2,1,0
,H2,0,0
85R1_unstim,A3,250,3533
85R2_unstim,B3,163,2796
86R1_unstim,C3,211,3502
86R2_unstim,D3,191,3207
water1_unstim,E3,195,3281
water2_unstim,F3,159,2534
,G3,0,0
,H3,0,1
85R1_unstim,A4,260,3505
85R2_unstim,B4,148,2744
86R1_unstim,C4,202,3508
86R2_unstim,D4,195,3323
water1_unstim,E4,195,3269
water2_unstim,F4,159,2462
,G4,0,0
,H4,1,0
85R1_unstim,A5,220,3467
85R2_unstim,B5,161,2801
86R1_unstim,C5,204,3505
86R2_unstim,D5,193,3281
water1_unstim,E5,196,3316
water2_unstim,F5,155,2570
,G5,1,0
,H5,1,1
85R1_unstim,A6,222,3472
85R2_unstim,B6,148,2847
86R1_unstim,C6,204,3319
86R2_unstim,D6,193,3377
water1_unstim,E6,194,3174
water2_unstim,F6,155,2488
,G6,1,0
,H6,1,0
85R1_stim,A7,236,3556
85R2_stim,B7,149,2682
86R1_stim,C7,187,3338
86R2_stim,D7,202,3263
water1_stim,E7,195,3109
water2_stim,F7,157,2358
,G7,0,0
,H7,0,0
85R1_stim,A8,239,3561
85R2_stim,B8,149,2757
86R1_stim,C8,196,3494
86R2_stim,D8,209,3386
water1_stim,E8,228,3169
water2_stim,F8,154,2440
,G8,1,0
,H8,1,0
85R1_stim,A9,271,3550
85R2_stim,B9,163,2970
86R1_stim,C9,206,3573
86R2_stim,D9,206,3455
water1_stim,E9,207,3205
water2_stim,F9,162,2621
mediaOnly,G9,127,185
mediaOnly,H9,124,188
85R1_stim,A10,247,3544
85R2_stim,B10,167,3006
86R1_stim,C10,207,3454
86R2_stim,D10,212,3349
water1_stim,E10,212,3150
water2_stim,F10,176,2765
mediaOnly,G10,118,189
mediaOnly,H10,101,179
85R1_stim,A11,253,3488
85R2_stim,B11,168,2893
86R1_stim,C11,212,3487
86R2_stim,D11,200,3448
water1_stim,E11,207,3114
water2_stim,F11,167,2670
mediaOnly,G11,115,184
mediaOnly,H11,104,181
85R1_stim,A12,275,3467
85R2_stim,B12,169,2982
86R1_stim,C12,229,3466
86R2_stim,D12,222,3448
water1_stim,E12,241,3109
water2_stim,F12,175,2653
mediaOnly,G12,112,177
mediaOnly,H12,105,169
