target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
BTG2,85R1,unstim,A1,0.722,0.052,0.046,236,3490,0.6699999999999999,1.652158722278362,26.588835301442803,FALSE,FALSE,BTG2
BTG2,85R1,unstim,A2,0.649,0.05,0.045,248,3510,0.599,1.87111449910828,56.019398564898864,FALSE,FALSE,BTG2
BTG2,85R1,unstim,A3,0.705,0.052,0.046,250,3533,0.6529999999999999,1.7053235494202315,32.43474865541967,FALSE,FALSE,BTG2
BTG2,85R1,unstim,A4,0.685,0.05,0.045,260,3505,0.635,1.7610097275178775,39.37583116387607,FALSE,FALSE,BTG2
BTG2,85R1,unstim,A5,0.668,0.05,0.045,220,3467,0.618,1.8131687501478648,46.736128427830536,FALSE,FALSE,BTG2
BTG2,85R1,unstim,A6,0.714,0.052,0.046,222,3472,0.6619999999999999,1.6772561060534392,29.259454606852973,FALSE,FALSE,BTG2
BTG2,85R1,stim,A7,0.296,0.047,0.045,236,3556,0.249,3.0277939422907,1047.7880712436984,FALSE,FALSE,BTG2
BTG2,85R1,stim,A8,0.29,0.046,0.044,239,3561,0.244,3.0476813300533223,1097.7419265248423,FALSE,FALSE,BTG2
BTG2,85R1,stim,A9,0.278,0.045,0.044,271,3550,0.23300000000000004,3.0920344021179917,1217.743234363522,FALSE,FALSE,BTG2
BTG2,85R1,stim,A10,0.307,0.045,0.043,247,3544,0.262,2.97684673026514,929.7817026743917,FALSE,FALSE,BTG2
BTG2,85R1,stim,A11,0.287,0.045,0.043,253,3488,0.242,3.0556833370062866,1118.495987575092,FALSE,FALSE,BTG2
BTG2,85R1,stim,A12,0.29,0.045,0.043,275,3467,0.245,3.0436904784834207,1087.53326754256,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B1,0.816,0.052,0.046,151,2721,0.7639999999999999,1.3399635826303304,3.5736747321689997,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B2,0.757,0.052,0.046,144,2632,0.705,1.5402814513145502,16.394056094073303,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B3,0.795,0.053,0.047,163,2796,0.742,1.4168952289540861,7.813205558440789,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B4,0.755,0.052,0.046,148,2744,0.703,1.5467820828012036,16.917303467696403,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B5,0.71,0.051,0.045,161,2801,0.6589999999999999,1.6866305838624869,30.29725671930164,FALSE,FALSE,BTG2
BTG2,85R2,unstim,B6,0.687,0.051,0.046,148,2847,0.636,1.7579297345559013,38.968229400707756,FALSE,FALSE,BTG2
BTG2,85R2,stim,B7,0.446,0.048,0.045,149,2682,0.398,2.494988101516795,294.29726516906953,FALSE,FALSE,BTG2
BTG2,85R2,stim,B8,0.467,0.042,0.038,149,2757,0.42500000000000004,2.407413199383983,237.2110096114587,FALSE,FALSE,BTG2
BTG2,85R2,stim,B9,0.392,0.048,0.045,163,2970,0.34400000000000003,2.676907553516741,456.93194699668544,FALSE,FALSE,BTG2
BTG2,85R2,stim,B10,0.385,0.048,0.045,167,3006,0.337,2.7012746173333024,484.3582290936252,FALSE,FALSE,BTG2
BTG2,85R2,stim,B11,0.395,0.046,0.044,168,2893,0.34900000000000003,2.659623095259587,438.3895682626663,FALSE,FALSE,BTG2
BTG2,85R2,stim,B12,0.412,0.046,0.043,169,2982,0.366,2.6015685924284693,381.2455537875144,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C1,0.689,0.051,0.046,203,3590,0.6379999999999999,1.751765312812954,38.16107019971889,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C2,0.68,0.051,0.046,197,3466,0.629,1.7794602268799609,41.87900753474109,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C3,0.71,0.052,0.046,211,3502,0.6579999999999999,1.6897511638894454,30.64772024149529,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C4,0.686,0.051,0.046,202,3508,0.635,1.7610097275178775,39.37583116387607,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C5,0.683,0.051,0.045,204,3505,0.632,1.7702411394372914,40.61496275255513,FALSE,FALSE,BTG2
BTG2,86R1,unstim,C6,0.731,0.052,0.046,204,3319,0.6789999999999999,1.6237362401000208,23.745011565450714,FALSE,FALSE,BTG2
BTG2,86R1,stim,C7,0.373,0.047,0.045,187,3338,0.326,2.739980648516034,531.214280663341,FALSE,FALSE,BTG2
BTG2,86R1,stim,C8,0.366,0.046,0.044,196,3494,0.32,2.7613161762197325,558.8844082700666,FALSE,FALSE,BTG2
BTG2,86R1,stim,C9,0.306,0.046,0.044,206,3573,0.26,2.9846152515648936,946.8933109810981,FALSE,FALSE,BTG2
BTG2,86R1,stim,C10,0.33,0.046,0.044,207,3454,0.28400000000000003,2.8929645112723374,763.2618287880226,FALSE,FALSE,BTG2
BTG2,86R1,stim,C11,0.328,0.048,0.046,212,3487,0.28,2.908008772410785,790.8101353947899,FALSE,FALSE,BTG2
BTG2,86R1,stim,C12,0.33,0.046,0.044,229,3466,0.28400000000000003,2.8929645112723374,763.2618287880226,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D1,0.732,0.053,0.047,202,3343,0.6789999999999999,1.6237362401000208,23.745011565450714,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D2,0.704,0.051,0.046,216,3260,0.6529999999999999,1.7053235494202315,32.43474865541967,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D3,0.708,0.052,0.046,191,3207,0.6559999999999999,1.6959861333315254,31.355539534995803,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D4,0.721,0.051,0.045,195,3323,0.6699999999999999,1.652158722278362,26.588835301442803,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D5,0.712,0.05,0.045,193,3281,0.6619999999999999,1.6772561060534392,29.259454606852973,FALSE,FALSE,BTG2
BTG2,86R2,unstim,D6,0.73,0.052,0.045,193,3377,0.6779999999999999,1.6269048226950997,24.05290626721413,FALSE,FALSE,BTG2
BTG2,86R2,stim,D7,0.363,0.045,0.043,202,3263,0.318,2.768464219537761,568.4629184325985,FALSE,FALSE,BTG2
BTG2,86R2,stim,D8,0.376,0.046,0.044,209,3386,0.33,2.7258455614618313,513.616963962861,FALSE,FALSE,BTG2
BTG2,86R2,stim,D9,0.354,0.045,0.043,206,3455,0.309,2.8008612290746107,613.9077008632393,FALSE,FALSE,BTG2
BTG2,86R2,stim,D10,0.352,0.044,0.041,212,3349,0.308,2.804484707207737,619.2045250904131,FALSE,FALSE,BTG2
BTG2,86R2,stim,D11,0.332,0.046,0.043,200,3448,0.28600000000000003,2.8854754862568224,749.8999862474036,FALSE,FALSE,BTG2
BTG2,86R2,stim,D12,0.365,0.047,0.044,222,3448,0.318,2.768464219537761,568.4629184325985,FALSE,FALSE,BTG2
water,water1,unstim,E1,0.72,0.051,0.045,213,3374,0.6689999999999999,1.655304115611179,26.915139768107128,FALSE,FALSE,BTG2
water,water1,unstim,E2,0.702,0.051,0.046,226,3351,0.6509999999999999,1.7115388043096273,33.16607213273274,FALSE,FALSE,BTG2
water,water1,unstim,E3,0.696,0.05,0.045,195,3281,0.6459999999999999,1.7270446757523341,35.036869175587896,FALSE,FALSE,BTG2
water,water1,unstim,E4,0.731,0.051,0.045,195,3269,0.6799999999999999,1.6205649113924405,23.439091130369928,FALSE,FALSE,BTG2
water,water1,unstim,E5,0.68,0.051,0.045,196,3316,0.629,1.7794602268799609,41.87900753474109,FALSE,FALSE,BTG2
water,water1,unstim,E6,0.745,0.051,0.046,194,3174,0.694,1.5758578448910114,19.355944431333693,FALSE,FALSE,BTG2
water,water1,stim,E7,0.365,0.046,0.043,195,3109,0.319,2.7648879072528882,563.6508874633123,FALSE,FALSE,BTG2
water,water1,stim,E8,0.351,0.046,0.044,228,3169,0.305,2.8153843691360234,635.4067498555246,FALSE,FALSE,BTG2
water,water1,stim,E9,0.3,0.044,0.042,207,3205,0.256,3.0002272129104006,982.2212068848282,FALSE,FALSE,BTG2
water,water1,stim,E10,0.343,0.045,0.043,212,3150,0.29800000000000004,2.840990712524818,675.1088700676764,FALSE,FALSE,BTG2
water,water1,stim,E11,0.347,0.046,0.044,207,3114,0.301,2.829986407497821,657.7597086939744,FALSE,FALSE,BTG2
water,water1,stim,E12,0.387,0.051,0.048,241,3109,0.336,2.7047720891186784,488.4226103059727,FALSE,FALSE,BTG2
water,water2,unstim,F1,0.785,0.053,0.047,162,2557,0.732,1.4508953512469314,9.939886606716069,FALSE,FALSE,BTG2
water,water2,unstim,F2,0.761,0.053,0.047,163,2570,0.708,1.5305021682087216,15.621511260295616,FALSE,FALSE,BTG2
water,water2,unstim,F3,0.775,0.052,0.046,159,2534,0.723,1.4810540767455136,11.970796459939521,FALSE,FALSE,BTG2
water,water2,unstim,F4,0.726,0.05,0.045,159,2462,0.6759999999999999,1.6332338878585857,24.6746743923708,FALSE,FALSE,BTG2
water,water2,unstim,F5,0.76,0.052,0.046,155,2570,0.708,1.5305021682087216,15.621511260295616,FALSE,FALSE,BTG2
water,water2,unstim,F6,0.769,0.052,0.046,155,2488,0.717,1.5009488259517165,13.38983301010817,FALSE,FALSE,BTG2
water,water2,stim,F7,0.485,0.046,0.043,157,2358,0.439,2.362724503634,212.22632882754596,FALSE,FALSE,BTG2
water,water2,stim,F8,0.472,0.047,0.044,154,2440,0.425,2.4074131993839836,237.21100961145896,FALSE,FALSE,BTG2
water,water2,stim,F9,0.453,0.047,0.044,162,2621,0.406,2.468834317570909,276.02774868275037,FALSE,FALSE,BTG2
water,water2,stim,F10,0.466,0.047,0.044,176,2765,0.41900000000000004,2.4267087074985825,248.81930849342703,FALSE,FALSE,BTG2
water,water2,stim,F11,0.439,0.047,0.044,167,2670,0.392,2.51472552364155,308.83177217146283,FALSE,FALSE,BTG2
water,water2,stim,F12,0.552,0.055,0.05,175,2653,0.49700000000000005,2.1816457775967106,133.62867648368086,FALSE,FALSE,BTG2
