target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
PEG10,s23004,unstim,B1,0.647,0.049,0.044,182,1527,0.598,1.8975414639982364,60.97052053863054,FALSE,FALSE,C
PEG10,s23004,unstim,B2,0.646,0.048,0.043,186,1664,0.598,1.8975414639982364,60.97052053863054,FALSE,FALSE,C
PEG10,s23004,unstim,B3,0.679,0.05,0.045,181,1487,0.629,1.809461799834731,46.471554621568714,FALSE,FALSE,C
PEG10,s23004,unstim,B4,0.568,0.044,0.04,229,2205,0.5239999999999999,2.1038486889059613,108.99924555151185,FALSE,FALSE,C
PEG10,s23004,unstim,B5,0.646,0.038,0.033,215,2011,0.608,1.8693161774362943,56.000487226554924,FALSE,FALSE,C
PEG10,s23004,unstim,B6,0.715,0.042,0.035,208,1872,0.6729999999999999,1.680258027083216,29.877549467639344,FALSE,FALSE,C
PEG10,s23004,stim,B7,0.259,0.033,0.032,234,2140,0.226,3.054859022226249,1116.628530805839,FALSE,FALSE,C
PEG10,s23004,stim,B8,0.265,0.045,0.043,233,2146,0.22000000000000003,3.0793438248480713,1182.4354008899654,FALSE,FALSE,C
PEG10,s23004,stim,B9,0.285,0.044,0.042,220,2029,0.241,2.9952202523075186,971.0406611615841,FALSE,FALSE,C
PEG10,s23004,stim,B10,0.333,0.044,0.042,216,1759,0.28900000000000003,2.817364606953318,638.6824518065825,FALSE,FALSE,C
PEG10,s23004,stim,B11,0.344,0.077,0.075,210,1883,0.26699999999999996,2.896641758496925,770.195764743517,FALSE,FALSE,C
PEG10,s23004,stim,B12,0.507,0.051,0.047,187,1616,0.456,2.2951504631394646,179.2967158301729,FALSE,FALSE,C
PEG10,s23005,unstim,C1,0.488,0.054,0.05,227,2630,0.434,2.358559235659446,210.31412814888523,FALSE,FALSE,C
PEG10,s23005,unstim,C2,0.423,0.045,0.042,343,3867,0.378,2.5256448197751955,317.4492442641637,FALSE,FALSE,C
PEG10,s23005,unstim,C3,0.382,0.049,0.048,318,3791,0.333,2.668138494669096,447.72068559985144,FALSE,FALSE,C
PEG10,s23005,unstim,C4,0.376,0.047,0.045,350,4061,0.329,2.6812560612246488,462.00247917229916,FALSE,FALSE,C
PEG10,s23005,unstim,C5,0.381,0.041,0.038,313,3849,0.34,2.645375393937601,423.9383904400648,FALSE,FALSE,C
PEG10,s23005,unstim,C6,0.415,0.039,0.036,322,3801,0.376,2.531799970770008,322.2375340957755,FALSE,FALSE,C
PEG10,s23005,stim,C7,0.132,0.03,0.032,356,4295,0.10200000000000001,3.6657474704335504,4613.761267074111,FALSE,TRUE,C
PEG10,s23005,stim,C8,0.145,0.043,0.043,347,4070,0.102,3.6657474704335504,4613.761267074111,FALSE,TRUE,C
PEG10,s23005,stim,C9,0.148,0.043,0.043,340,4037,0.105,3.647445177679319,4422.622118177044,FALSE,TRUE,C
PEG10,s23005,stim,C10,0.14,0.048,0.048,362,4414,0.09200000000000001,3.728561406212263,5334.544393611071,FALSE,TRUE,C
PEG10,s23005,stim,C11,0.142,0.043,0.043,322,3732,0.09899999999999999,3.6842942959653717,4815.848631641225,FALSE,TRUE,C
PEG10,s23005,stim,C12,0.138,0.045,0.045,359,3724,0.09300000000000001,3.722150090758844,5256.1071133217765,FALSE,TRUE,C
PELO,s28808,unstim,A1,0.678,0.05,0.045,191,1732,0.628,1.8123330449097903,46.89929885688193,FALSE,FALSE,C
PELO,s28808,unstim,A2,0.6,0.045,0.04,199,1860,0.5549999999999999,2.0176764428166662,86.14021230922927,FALSE,FALSE,C
PELO,s28808,unstim,A3,0.613,0.047,0.042,207,2083,0.566,1.987070309260852,79.05280484810218,FALSE,FALSE,C
PELO,s28808,unstim,A4,0.505,0.046,0.042,237,2251,0.459,2.2865785399959853,175.44046292769275,FALSE,FALSE,C
PELO,s28808,unstim,A5,0.581,0.044,0.039,221,1940,0.5369999999999999,2.067700851639859,98.85550498897446,FALSE,FALSE,C
PELO,s28808,unstim,A6,0.564,0.042,0.038,241,2248,0.5219999999999999,2.109414962189497,110.63762696163161,FALSE,FALSE,C
PELO,s28808,stim,A7,0.215,0.03,0.029,255,2461,0.185,3.2303456171319898,1681.5817694691245,FALSE,FALSE,C
PELO,s28808,stim,A8,0.247,0.041,0.039,240,2313,0.206,3.1379905346962,1355.998123520193,FALSE,FALSE,C
PELO,s28808,stim,A9,0.257,0.038,0.036,241,2316,0.219,3.083461374759426,1193.8709964490188,FALSE,FALSE,C
PELO,s28808,stim,A10,0.221,0.041,0.039,265,2656,0.18,3.253188410126248,1773.3689366936562,FALSE,FALSE,C
PELO,s28808,stim,A11,0.226,0.043,0.042,263,2576,0.183,3.2394410920254066,1717.5519286412052,FALSE,FALSE,C
PELO,s28808,stim,A12,0.227,0.041,0.04,262,2520,0.186,3.2258183932367888,1663.9566676949619,FALSE,FALSE,C
TRUB1,s44502,unstim,D1,0.354,0.046,0.044,316,3304,0.308,2.751533072944176,546.3160102454152,FALSE,FALSE,C
TRUB1,s44502,unstim,D2,0.35,0.045,0.043,366,4155,0.305,2.7617781468706055,559.7869056860782,FALSE,FALSE,C
TRUB1,s44502,unstim,D3,0.358,0.046,0.044,367,4254,0.312,2.7379558520893443,528.9464541531553,FALSE,FALSE,C
TRUB1,s44502,unstim,D4,0.35,0.045,0.043,345,4102,0.305,2.7617781468706055,559.7869056860782,FALSE,FALSE,C
TRUB1,s44502,unstim,D5,0.356,0.041,0.039,351,4123,0.315,2.7278337610745798,516.3458733672877,FALSE,FALSE,C
