target,siRNA,stim,Well,OD_450,OD_540,OD_570,viability_24,viability_48,corrected,loganswer,conc,below,above,batch
water,water,unstim,F7,0.535,0.046,,170,3307,0.489,2.215893645,164.3969078,FALSE,FALSE,K
water,water,unstim,F8,0.597,0.049,,168,3382,0.548,2.050069799,112.2198798,FALSE,FALSE,K
water,water,unstim,F9,0.646,0.049,,159,2530,0.597,1.914495643,82.12883134,FALSE,FALSE,K
water,water,unstim,F10,0.668,0.05,,157,2675,0.618,1.856222826,71.81626687,FALSE,FALSE,K
water,water,unstim,F11,0.633,0.049,,160,2383,0.584,1.950450708,89.21763521,FALSE,FALSE,K
water,water,unstim,F12,0.667,0.049,,131,2132,0.618,1.856222826,71.81626687,FALSE,FALSE,K
water,water,stim,F1,0.293,0.046,,169,3003,0.247,3.042264645,1102.210758,FALSE,FALSE,K
water,water,stim,F2,0.305,0.045,,166,2985,0.26,2.986209983,968.7461365,FALSE,FALSE,K
water,water,stim,F3,0.258,0.045,,182,3698,0.213,3.200241073,1585.773195,FALSE,FALSE,K
water,water,stim,F4,0.269,0.045,,168,3220,0.224,3.147154912,1403.314175,FALSE,FALSE,K
water,water,stim,F5,0.277,0.045,,173,3479,0.232,3.109781225,1287.600762,FALSE,FALSE,K
water,water,stim,F6,0.312,0.045,,160,2932,0.267,2.956891985,905.5073609,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A7,0.519,0.048,,166,3161,0.471,2.267725428,185.2360144,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A8,0.572,0.049,,173,3214,0.523,2.119745034,131.7483041,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A9,0.517,0.047,,169,3100,0.47,2.270627866,186.478113,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A10,0.551,0.048,,163,2864,0.503,2.176060268,149.9892965,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A11,0.526,0.048,,174,3156,0.478,2.247478357,176.7984108,FALSE,FALSE,K
ZFP36L1,s2089,unstim,A12,0.587,0.049,,183,3274,0.538,2.077864264,119.6366557,FALSE,FALSE,K
ZFP36L1,s2089,stim,A1,0.268,0.045,,192,3874,0.223,3.151897732,1418.723399,FALSE,FALSE,K
