cluster	gene	probability
1	ENSG00000143333.6	0.9446
1	ENSG00000170345.9	0.9446
2	ENSG00000125740.13	0.9998
2	ENSG00000128016.5	0.9998
2	ENSG00000141232.4	0.9998
2	ENSG00000142871.16	0.9998
2	ENSG00000159388.5	0.9998
2	ENSG00000186352.8	0.9988
3	ENSG00000077009.13	0.9083
3	ENSG00000080845.17	0.9041
3	ENSG00000102195.9	0.9125
3	ENSG00000106537.7	0.9030
3	ENSG00000111885.6	0.9051
3	ENSG00000115461.4	0.9008
3	ENSG00000129990.14	0.9136
3	ENSG00000136854.19	0.8850
3	ENSG00000145623.12	0.9161
3	ENSG00000168610.14	0.9067
3	ENSG00000171951.4	0.9026
3	ENSG00000173210.19	0.9232
3	ENSG00000176658.16	0.9081
3	ENSG00000261578.1	0.9138
4	ENSG00000067082.14	1.0000
4	ENSG00000118515.11	1.0000
4	ENSG00000120129.5	1.0000
4	ENSG00000120738.7	1.0000
5	ENSG00000177606.6	0.9938
5	ENSG00000179029.14	0.9917
5	ENSG00000199879.1	0.9899
5	ENSG00000201558.1	0.9883
5	ENSG00000207205.1	0.9938
5	ENSG00000222724.1	0.9834
5	ENSG00000270022.3	0.9938
5	ENSG00000274210.1	0.9761
5	ENSG00000274428.1	0.9919
5	ENSG00000274978.1	0.9938
5	ENSG00000275291.1	0.9798
5	ENSG00000276216.1	0.9928
5	ENSG00000279602.1	0.9834
5	ENSG00000281832.1	0.9908
6	ENSG00000119138.4	0.8992
6	ENSG00000122877.15	0.9095
6	ENSG00000275894.1	0.8963
7	ENSG00000156030.13	0.9083
7	ENSG00000174576.9	0.9049
7	ENSG00000179094.15	0.9123
8	ENSG00000107679.14	0.9377
8	ENSG00000124225.15	0.9377
9	ENSG00000123358.19	0.8963
9	ENSG00000165030.3	0.8997
9	ENSG00000173334.3	0.8893
10	ENSG00000115902.10	0.9844
10	ENSG00000171246.5	0.9827
10	ENSG00000179142.2	0.9821
11	ENSG00000035403.17	0.9262
11	ENSG00000137962.12	0.9262
11	ENSG00000164741.14	0.9308
12	ENSG00000006128.11	0.9384
12	ENSG00000067057.16	0.9313
12	ENSG00000072210.18	0.9365
12	ENSG00000101605.12	0.9390
12	ENSG00000110400.10	0.9330
12	ENSG00000122012.13	0.9384
12	ENSG00000147174.11	0.9367
12	ENSG00000171033.12	0.9405
12	ENSG00000172572.6	0.9305
12	ENSG00000181856.14	0.9380
12	ENSG00000283538.1	0.9265
13	ENSG00000122641.10	0.9389
13	ENSG00000164211.12	0.9424
13	ENSG00000164484.11	0.9458
14	ENSG00000019186.9	0.9284
14	ENSG00000102755.11	0.9358
14	ENSG00000110841.13	0.9323
14	ENSG00000116774.11	0.9232
14	ENSG00000119917.13	0.9184
14	ENSG00000137571.10	0.9252
14	ENSG00000153707.16	0.9362
14	ENSG00000156475.18	0.9302
14	ENSG00000172159.15	0.9384
15	ENSG00000073737.16	1.0000
16	ENSG00000143878.9	1.0000
17	ENSG00000113070.7	1.0000
18	ENSG00000176845.12	0.9227
18	ENSG00000196396.9	0.9227
19	ENSG00000034677.12	0.9296
19	ENSG00000102760.12	0.9358
19	ENSG00000105991.7	0.9438
19	ENSG00000112715.21	0.9156
19	ENSG00000125266.6	0.9363
19	ENSG00000135679.22	0.9420
19	ENSG00000137331.11	0.9409
19	ENSG00000148339.12	0.9418
19	ENSG00000164023.14	0.9372
19	ENSG00000175592.8	0.9457
19	ENSG00000177432.6	0.9310
19	ENSG00000182255.6	0.9351
19	ENSG00000185022.11	0.9388
19	ENSG00000261150.2	0.9478
20	ENSG00000151468.10	0.9008
20	ENSG00000152661.7	0.9008
21	ENSG00000006210.6	0.9403
21	ENSG00000107863.17	0.9368
21	ENSG00000108244.16	0.9391
21	ENSG00000109321.10	0.9315
21	ENSG00000145335.15	0.9421
21	ENSG00000155850.7	0.9373
21	ENSG00000175832.12	0.9479
21	ENSG00000178209.14	0.9382
21	ENSG00000188916.8	0.9430
21	ENSG00000234696.1	0.9410
21	ENSG00000261488.1	0.9322
22	ENSG00000125347.13	0.9181
22	ENSG00000145990.10	0.9216
22	ENSG00000168685.14	0.9285
23	ENSG00000134668.12	0.9354
23	ENSG00000135709.12	0.9423
23	ENSG00000167705.11	0.9408
23	ENSG00000197380.10	0.9431
24	ENSG00000104885.17	0.9314
24	ENSG00000133800.8	0.9256
24	ENSG00000135241.16	0.9262
24	ENSG00000150394.13	0.9199
24	ENSG00000175727.13	0.9302
25	ENSG00000164949.7	1.0000
26	ENSG00000010310.8	0.9245
26	ENSG00000152684.10	0.9326
26	ENSG00000163376.11	0.9279
26	ENSG00000177133.10	0.9227
26	ENSG00000185231.4	0.9326
27	ENSG00000128342.4	0.7947
27	ENSG00000188215.9	0.7947
28	ENSG00000100644.16	0.9331
28	ENSG00000175556.16	0.9331
29	ENSG00000006459.10	0.9308
29	ENSG00000054967.12	0.9262
29	ENSG00000071127.16	0.9296
29	ENSG00000155846.16	0.9375
29	ENSG00000213626.11	0.9357
30	ENSG00000138134.11	0.9435
30	ENSG00000167460.14	0.9435
31	ENSG00000066248.14	0.9296
31	ENSG00000139289.13	0.9245
31	ENSG00000171867.16	0.9245
32	ENSG00000051108.14	0.9336
32	ENSG00000167470.12	0.9338
32	ENSG00000173846.12	0.9415
32	ENSG00000186594.14	0.9179
32	ENSG00000187479.5	0.9432
32	ENSG00000188582.8	0.9453
32	ENSG00000255874.2	0.9355
33	ENSG00000077585.13	0.9170
33	ENSG00000081181.7	0.9075
33	ENSG00000110237.3	0.9161
33	ENSG00000137869.14	0.9117
33	ENSG00000272235.1	0.9105
33	ENSG00000277117.4	0.9114
34	ENSG00000067955.13	0.9268
34	ENSG00000147465.11	0.9372
34	ENSG00000159216.18	0.9372
34	ENSG00000197147.13	0.9424
34	ENSG00000235884.3	0.9303
35	ENSG00000104267.9	0.9256
35	ENSG00000105825.11	0.9239
35	ENSG00000119514.6	0.9210
36	ENSG00000105699.16	0.9123
36	ENSG00000142910.15	0.9141
36	ENSG00000149948.13	0.9106
37	ENSG00000135750.14	0.9054
37	ENSG00000170836.11	0.9054
38	ENSG00000119938.8	0.9112
38	ENSG00000132906.17	0.9112
39	ENSG00000118503.14	0.9031
39	ENSG00000146426.17	0.9031
40	ENSG00000159200.17	0.9354
40	ENSG00000168389.17	0.9400
40	ENSG00000176697.18	0.9377
41	ENSG00000099860.8	0.9435
41	ENSG00000136158.11	0.9435
42	ENSG00000173548.8	1.0000
43	ENSG00000171724.2	1.0000
44	ENSG00000006327.13	0.9170
44	ENSG00000160216.18	0.9170
45	ENSG00000120833.13	0.9316
45	ENSG00000181722.16	0.9400
45	ENSG00000236013.5	0.9408
45	ENSG00000282393.1	0.9354
46	ENSG00000109956.12	0.9320
46	ENSG00000113494.16	0.9324
46	ENSG00000140859.15	0.9277
46	ENSG00000146648.17	0.9249
46	ENSG00000155754.14	0.9335
46	ENSG00000174804.3	0.9253
46	ENSG00000183655.12	0.9366
46	ENSG00000186907.7	0.9278
46	ENSG00000197106.6	0.9324
46	ENSG00000198597.8	0.9287
46	ENSG00000272168.6	0.9323
46	ENSG00000276740.1	0.9258
46	ENSG00000278709.1	0.9262
47	ENSG00000134107.4	0.9170
47	ENSG00000143816.7	0.9170
48	ENSG00000111450.13	0.9135
48	ENSG00000138166.5	0.9204
48	ENSG00000268941.2	0.9170
49	ENSG00000124766.6	0.9239
49	ENSG00000183654.8	0.9239
50	ENSG00000100036.12	0.9220
50	ENSG00000132334.16	0.9389
50	ENSG00000134802.17	0.9332
50	ENSG00000185477.4	0.9286
51	ENSG00000155090.14	1.0000
52	ENSG00000095397.13	0.9377
52	ENSG00000185634.11	0.9377
53	ENSG00000139146.13	0.9147
53	ENSG00000163874.10	0.9216
53	ENSG00000198142.4	0.9293
53	ENSG00000223414.2	0.9178
54	ENSG00000157502.13	0.9423
54	ENSG00000272636.3	0.9423
55	ENSG00000008405.11	1.0000
56	ENSG00000069849.10	0.9394
56	ENSG00000118523.5	0.9377
56	ENSG00000166793.10	0.9383
57	ENSG00000087263.16	0.9232
57	ENSG00000159167.11	0.9377
57	ENSG00000182704.7	0.9339
57	ENSG00000224945.1	0.9209
58	ENSG00000114529.12	0.9187
58	ENSG00000146674.14	0.9210
58	ENSG00000229989.3	0.9204
59	ENSG00000137449.15	0.9285
59	ENSG00000143384.12	0.9173
59	ENSG00000147894.14	0.9160
59	ENSG00000166579.15	0.9326
59	ENSG00000197019.4	0.9241
59	ENSG00000273151.1	0.9147
59	ENSG00000275202.1	0.9320
60	ENSG00000117525.13	1.0000
61	ENSG00000154217.14	0.9358
61	ENSG00000162543.5	0.9332
61	ENSG00000183780.12	0.9358
61	ENSG00000185630.18	0.9231
62	ENSG00000054356.13	0.8058
62	ENSG00000104332.11	0.7844
62	ENSG00000121769.7	0.8226
62	ENSG00000135424.15	0.7848
62	ENSG00000197594.11	0.8075
63	ENSG00000132481.6	0.9316
63	ENSG00000135046.13	0.9347
63	ENSG00000154639.18	0.9377
63	ENSG00000235711.4	0.9316
64	ENSG00000068383.18	0.9343
64	ENSG00000089057.14	0.9338
64	ENSG00000101849.15	0.9341
64	ENSG00000127955.15	0.9316
64	ENSG00000151388.10	0.9334
64	ENSG00000176595.3	0.9282
64	ENSG00000182389.19	0.9268
64	ENSG00000196639.6	0.9308
65	ENSG00000070061.14	1.0000
66	ENSG00000010404.17	0.9300
66	ENSG00000037897.16	0.9282
66	ENSG00000074660.15	0.9282
66	ENSG00000137309.19	0.9305
66	ENSG00000172965.14	0.9371
67	ENSG00000144749.13	0.9273
67	ENSG00000171877.20	0.9273
68	ENSG00000111252.10	0.9204
68	ENSG00000144959.9	0.9227
68	ENSG00000167528.12	0.9216
69	ENSG00000126368.5	1.0000
70	ENSG00000105849.5	0.9351
70	ENSG00000106665.15	0.9335
70	ENSG00000204054.13	0.9366
70	ENSG00000236377.1	0.9250
71	ENSG00000034152.18	0.9242
71	ENSG00000104856.13	0.9282
71	ENSG00000120729.9	0.9204
71	ENSG00000137878.16	0.9248
71	ENSG00000142627.12	0.9172
72	ENSG00000027075.14	0.9360
72	ENSG00000149218.4	0.9334
72	ENSG00000169908.11	0.9325
72	ENSG00000184349.12	0.9337
72	ENSG00000275880.1	0.9276
73	ENSG00000143479.15	0.9446
73	ENSG00000172738.11	0.9446
74	ENSG00000165272.14	0.9173
74	ENSG00000165474.5	0.9274
74	ENSG00000167693.16	0.9276
74	ENSG00000168280.16	0.9167
74	ENSG00000180616.8	0.9213
75	ENSG00000064666.14	0.9380
75	ENSG00000164442.9	0.9397
75	ENSG00000196449.3	0.9152
76	ENSG00000102471.13	0.9320
76	ENSG00000175344.17	0.9371
76	ENSG00000244405.7	0.9348
77	ENSG00000181773.6	0.9366
77	ENSG00000258947.6	0.9366
78	ENSG00000117707.15	0.9262
78	ENSG00000165338.16	0.9196
78	ENSG00000172071.11	0.9239
78	ENSG00000180044.5	0.9326
78	ENSG00000263155.5	0.9311
79	ENSG00000150787.7	1.0000
80	ENSG00000107984.9	0.9389
80	ENSG00000124145.6	0.9302
80	ENSG00000137843.11	0.9337
81	ENSG00000138639.17	0.9308
81	ENSG00000169758.12	0.9222
81	ENSG00000283217.1	0.9256
82	ENSG00000081923.11	0.9304
82	ENSG00000144476.5	0.9250
82	ENSG00000147162.13	0.9366
82	ENSG00000151012.13	0.9262
82	ENSG00000164983.7	0.9274
82	ENSG00000170379.19	0.9308
82	ENSG00000175785.12	0.9331
83	ENSG00000115226.9	0.9274
83	ENSG00000119771.14	0.9316
83	ENSG00000122884.12	0.9351
83	ENSG00000127507.17	0.9329
83	ENSG00000143756.11	0.9283
83	ENSG00000146072.6	0.9331
83	ENSG00000164850.14	0.9259
83	ENSG00000168546.10	0.9330
83	ENSG00000170873.18	0.9356
83	ENSG00000174749.5	0.9270
83	ENSG00000177370.4	0.9399
83	ENSG00000256967.1	0.9276
83	ENSG00000260941.1	0.9282
83	ENSG00000269993.1	0.9296
84	ENSG00000162885.12	0.9123
84	ENSG00000178409.13	0.9123
85	ENSG00000127824.13	0.9250
85	ENSG00000261609.5	0.9250
86	ENSG00000081189.15	0.9149
86	ENSG00000107105.14	0.9227
86	ENSG00000110880.10	0.9214
86	ENSG00000188522.14	0.9200
86	ENSG00000189067.12	0.9204
86	ENSG00000198742.9	0.9232
87	ENSG00000124762.13	0.9100
87	ENSG00000137714.2	0.9100
88	ENSG00000080031.9	0.9227
88	ENSG00000274653.1	0.9227
89	ENSG00000111266.8	0.8134
89	ENSG00000154642.10	0.8255
89	ENSG00000165997.4	0.7332
89	ENSG00000166886.12	0.8200
89	ENSG00000260101.1	0.8318
90	ENSG00000069020.18	0.9225
90	ENSG00000090530.9	0.9276
90	ENSG00000103034.14	0.9343
90	ENSG00000118257.16	0.9341
90	ENSG00000142149.8	0.9343
90	ENSG00000198523.5	0.9295
90	ENSG00000260920.2	0.9316
91	ENSG00000033627.16	0.9147
91	ENSG00000143153.12	0.9093
91	ENSG00000146242.8	0.9039
91	ENSG00000158220.13	0.9170
91	ENSG00000196352.14	0.9129
91	ENSG00000228106.5	0.9103
91	ENSG00000270412.1	0.9070
92	ENSG00000166401.14	0.9393
92	ENSG00000171067.10	0.9458
92	ENSG00000176170.13	0.9439
92	ENSG00000276122.1	0.9473
93	ENSG00000102096.9	0.9508
