symbol	gene	FDR_3	logFC_3	FDR_24	logFC_24	biotype
NSFP1	ENSG00000260075.1	3.071139863293123e-129	-12.632563042939504	0.7796591015850921	-1.5761918523406826	unprocessed_pseudogene
RP11-530C5.1	ENSG00000258048.1	7.887826815193177e-90	-11.715925671185708	0.7035636064496645	1.7147354863452582	lincRNA
ZNF331	ENSG00000130844.16	3.219650224737256e-88	5.126341964528426	0.07111908269122638	0.662422988014746	protein_coding
RP11-548K23.11	ENSG00000249967.1	1.788385787017513e-71	12.908828535436953	0.6263676067188725	-1.9572207123901544	protein_coding
NR4A2	ENSG00000153234.13	5.01145090760886e-71	4.852338571514349	0.456480797279777	0.5580784739688147	protein_coding
RASD1	ENSG00000108551.4	1.9855185378419913e-64	4.4223589016771125	3.0181834405921342e-108	3.284114787157072	protein_coding
TOB1	ENSG00000141232.4	5.954179112755717e-60	3.058624447234952	1.1943590059029814e-35	1.2553664257376935	protein_coding
CTD-3105H18.18	ENSG00000269755.1	1.4276713806527615e-50	12.13724862585	NA	NA	protein_coding
DDIT4	ENSG00000168209.4	1.773843442035056e-49	2.2098723960315256	3.62089930523556e-15	0.7503204581419406	protein_coding
KLHL15	ENSG00000174010.9	9.750353224565164e-47	2.092915140866704	6.435547632565507e-28	1.441085709352402	protein_coding
LINC00473	ENSG00000223414.2	1.92149176969745e-46	5.3658070386832835	1.8323907006486415e-51	6.982898834051603	lincRNA
NR4A3	ENSG00000119508.17	2.1177465046812417e-42	3.41653559616975	6.383296430324164e-121	4.434962371994299	protein_coding
ALAS1	ENSG00000023330.14	3.3063464528545955e-41	2.306639999823086	1.3479119782179207e-226	2.944259213593391	protein_coding
RP11-446N19.1	ENSG00000272369.1	5.542497160355903e-39	11.90594453185441	2.7956499981413946e-48	-12.197543019156642	lincRNA
CH507-42P11.8	ENSG00000275993.2	7.060723310456802e-38	4.05297337982437	9.538626378752888e-26	1.85666760904411	protein_coding
FGF9	ENSG00000102678.6	1.1683519703791573e-36	5.19531326429757	1.0278419333717684e-20	4.4873672611501645	protein_coding
AVPI1	ENSG00000119986.6	2.0726658423997063e-33	3.29463987349203	1.6933250788589438e-145	2.6700593223063382	protein_coding
CHMP1B	ENSG00000255112.2	5.095225818448925e-32	1.6234518975994343	0.030007480673822487	0.26934825373564647	protein_coding
HOXA5	ENSG00000106004.4	5.877167459091433e-32	2.726399016952343	0.00824646506361265	0.49261350892446015	protein_coding
AC073610.5	ENSG00000255863.2	7.290685235539833e-30	-10.904706552312089	0.9978469958021919	0.017276292090638863	protein_coding
CD83	ENSG00000112149.9	2.210520587355198e-29	2.4718742885588814	1.208078621889455e-97	3.9418905137148026	protein_coding
RAB20	ENSG00000139832.4	2.2653838103166776e-27	2.4044203415971315	7.613080489466019e-96	2.1456321392019966	protein_coding
IFFO2	ENSG00000169991.10	6.358778882303315e-26	1.6201802789262374	0.004075313456590358	0.5254744017702521	protein_coding
LYPLAL1-AS1	ENSG00000228063.1	2.040469237284334e-25	-10.90672962546304	NA	NA	antisense
RHOB	ENSG00000143878.9	6.291221099612508e-25	1.5287690011147983	1.2251551583160838e-57	1.4881806800590536	protein_coding
THAP2	ENSG00000173451.6	6.414340044424239e-25	3.7322794719156485	0.016009340695148262	1.1684368022096516	protein_coding
HEXIM1	ENSG00000186834.3	4.9138034464518995e-24	1.4657939247728953	1.752386520771864e-5	0.47030982545016	protein_coding
ABTB2	ENSG00000166016.5	8.832561109993833e-24	2.7139213627786534	0.11922094216417775	0.4667738879953417	protein_coding
RNF122	ENSG00000133874.1	2.4232809096616485e-23	2.1988290605999987	0.2011756995118907	-0.2180568360318671	protein_coding
BMS1P4	ENSG00000271816.1	5.377910826199473e-23	-9.401657100741557	0.7944827447903307	-1.286893586125581	processed_transcript
CXCR4	ENSG00000121966.6	1.7165842869892131e-22	1.92397373799753	3.058816886003814e-121	2.418290700747144	protein_coding
RHOU	ENSG00000116574.5	6.475518755863386e-21	1.6553588518450453	4.0339531609667455e-105	2.2063643331678873	protein_coding
PDK4	ENSG00000004799.7	1.2231089491057505e-20	2.0614536670745878	1.0948165040998147e-34	2.0421394189482562	protein_coding
TXNIP	ENSG00000265972.5	2.0623055865382258e-20	-1.4654435292647139	2.5181336024545583e-34	-1.3937086733723476	protein_coding
GADD45B	ENSG00000099860.8	7.474835149725135e-20	1.366844425703168	0.627123336323287	-0.11134331701740981	protein_coding
HAS1	ENSG00000105509.10	2.7139712264371356e-19	2.9500629789721353	0.06152312533861638	1.6746031964304384	protein_coding
TUBA4A	ENSG00000127824.13	4.4122554614581345e-18	1.8854079873830674	3.8702001533933154e-84	2.659315449732871	protein_coding
LYPD3	ENSG00000124466.8	1.6085355344627822e-17	4.611306890320675	2.6142956908752865e-4	2.2537677401037435	protein_coding
RAB3A	ENSG00000105649.9	1.8046534354412693e-17	2.630307981270303	2.868726864592794e-6	1.4321789193338188	protein_coding
SIRT1	ENSG00000096717.11	2.0701719926917665e-17	1.4982021832684767	2.6875968861573993e-4	-0.4874985317551498	protein_coding
FAM46C	ENSG00000183508.4	2.5906998457450887e-17	1.4842110841261542	0.9578068120885168	0.027824781202495815	protein_coding
RRAD	ENSG00000166592.11	4.478130872897738e-17	1.5804504292219896	1.1425106387182523e-18	-2.8009319007824405	protein_coding
RP11-46A10.5	ENSG00000243155.1	8.636693445167401e-17	-8.788924760214998	NA	NA	antisense
USP2	ENSG00000036672.15	1.62278938978306e-16	2.423047925689759	0.4859768289202196	0.5423810922830179	protein_coding
DUSP1	ENSG00000120129.5	3.357579776129739e-16	1.2526309602306904	0.004216880234306944	0.41114766701394495	protein_coding
GEM	ENSG00000164949.7	6.080074060733237e-16	1.3131179070559398	0.12357845389780112	-0.3775567765421882	protein_coding
MAT2A	ENSG00000168906.12	1.6861911879793983e-15	1.3431899898250492	0.03554924723306082	-0.23366484677931354	protein_coding
BTG2	ENSG00000159388.5	2.1520046305481158e-15	1.757077019710001	3.519999597258996e-15	1.0952593062175835	protein_coding
