symbol	gene	FDR_3	logFC_3	FDR_24	logFC_24	biotype
RP11-446N19.1	ENSG00000272369.1	3.310550868896008e-54	12.44119637418184	0.9984219746490893	-0.30373222678374484	lincRNA
CTD-2135J3.4	ENSG00000258724.1	6.176940763853693e-42	12.019554079053192	NA	NA	protein_coding
CTD-2550O8.5	ENSG00000167774.2	1.3179751284840765e-37	11.806496054617947	NA	NA	protein_coding
LA16c-306E5.3	ENSG00000263212.2	2.992147664297679e-35	11.262298683539939	NA	NA	processed_transcript
RGS2	ENSG00000116741.7	2.369272501528576e-27	1.905361322317612	3.8948138238510115e-9	0.9774554852709103	protein_coding
BTG2	ENSG00000159388.5	5.251471726458946e-26	2.0885150786426836	0.0017762032560239087	0.5921708843605188	protein_coding
LYPLAL1-AS1	ENSG00000228063.1	6.298752274616818e-24	-10.866640396439156	NA	NA	antisense
AC003002.4	ENSG00000268133.1	9.013519921796032e-24	-11.748758731710176	NA	NA	protein_coding
RP11-550P17.5	ENSG00000228560.1	6.91190604575754e-21	-9.979607610529623	0.946802219166494	2.12785121541544	antisense
KCNB2	ENSG00000182674.5	9.04425945324812e-21	9.279773253224459	NA	NA	protein_coding
TXNIP	ENSG00000265972.5	4.663223367494832e-19	-1.2914777135057656	2.2550029691927805e-6	-0.6471091430950916	protein_coding
PTPN20CP	ENSG00000278561.1	2.49120746650162e-12	-9.420520289184077	0.9567683424743224	1.8429895661944324	unprocessed_pseudogene
CTC-499B15.5	ENSG00000197332.8	4.675066350792737e-12	8.135138879802929	0.9382758499919055	1.0188389875726256	lincRNA
CTD-2192J16.24	ENSG00000269590.1	7.021250065901701e-8	-8.313910255067011	NA	NA	protein_coding
AC062029.1	ENSG00000234028.3	9.600840698079072e-8	7.736940586940331	0.9400369046789886	0.6116549131540608	antisense
RP11-464F9.1	ENSG00000242288.9	1.0878813343331892e-7	7.9901317932365625	NA	NA	processed_transcript
RP4-533D7.5	ENSG00000227857.2	1.4922348077297387e-7	8.520402001525472	NA	NA	antisense
C19orf18	ENSG00000177025.3	1.74440299496379e-7	-9.097319164855936	2.1393373232923257e-7	-8.41850845878947	protein_coding
RP11-488P3.1	ENSG00000230439.2	3.462707470619197e-7	-8.03895701785674	0.9273318115691684	-0.47023149913561735	sense_intronic
KPNA2P3	ENSG00000266820.1	3.462707470619197e-7	-8.777434334671128	0.9954889743753095	-0.6764428284526461	transcribed_unprocessed_pseudogene
RP5-1158E12.3	ENSG00000231566.1	1.9104275541902357e-6	-7.184769560463018	0.8366271460984215	1.2206578284807275	lincRNA
ZNF850	ENSG00000267041.5	1.3962490083499595e-5	-1.498758756581221	0.8677485623186891	-0.4674118874906365	protein_coding
LRRC8B	ENSG00000197147.13	8.727447081929075e-5	0.7887234334764691	0.09500365309790798	0.37802653208845577	protein_coding
NR4A2	ENSG00000153234.13	1.1483881013733569e-4	2.1901646309577396	0.0856907132935726	1.0529851067716007	protein_coding
STX17-AS1	ENSG00000255145.2	1.280290578456362e-4	-1.5186181739265776	0.4045245924820815	-0.7636231003229892	antisense
NR4A3	ENSG00000119508.17	9.187544108866162e-4	1.4047610732505598	1.2888991220398981e-5	1.7005700346927188	protein_coding
ZNF331	ENSG00000130844.16	9.713952604489828e-4	1.5163382558997671	0.9984219746490893	0.03619311717929374	protein_coding
C11orf96	ENSG00000187479.5	0.0012289008152005067	1.3205896295041628	0.13088203076663718	0.5280389203579677	protein_coding
RCAN1	ENSG00000159200.17	0.001622214118492332	0.5774020330487558	0.8901270458256767	-0.09517421842869705	protein_coding
RASD1	ENSG00000108551.4	0.0036852854849507215	1.3879921613824437	0.013591492892822188	0.7586711817010529	protein_coding
LIF	ENSG00000128342.4	0.004668245549343014	0.660966210746177	0.9984219746490893	-0.043461579082258	protein_coding
NR4A1	ENSG00000123358.19	0.012293721000690028	1.3406440262552979	4.7622156062843265e-8	1.644322416183354	protein_coding
RP11-6N17.4	ENSG00000264920.1	0.017764138844119176	-1.0697744496418777	0.8484816589923797	0.4726289670703706	processed_transcript
RP11-264B17.3	ENSG00000261067.7	0.027877098089163013	1.7225933353082366	0.9984219746490893	0.09242331111219683	processed_transcript
RP11-752D24.2	ENSG00000248115.1	0.027877098089163013	-2.522505804518681	0.021931339673387274	3.428516785932127	antisense
WDCP	ENSG00000163026.11	0.027877098089163013	-0.8373652678088978	0.9726918469683004	-0.11710957860558263	protein_coding
RASSF9	ENSG00000198774.4	0.031522913785837145	1.1256226153746018	0.27101806646746307	-0.39142976690793585	protein_coding
AK8	ENSG00000165695.9	0.031985096608857184	-2.4961159285521486	0.7500274897260463	0.9877949285446073	protein_coding
MEI4	ENSG00000269964.2	0.034217435913577406	1.865595318987394	0.9984219746490893	-0.08389163515856739	protein_coding
MIR503HG	ENSG00000223749.9	0.036018994733749296	3.858511761797827	0.9984219746490893	0.11270721517604747	lincRNA
