Name	Score	Pentamer count	Pentamer position	AU-block position	Sequence length
ESPL1	3.6	3	60 128 157	74...168	169
RBP5	0	0			437
CD44	8.2	7	542 560 1258 1419 2433 2469 2957	103...209 210...249 295...328 541...604 605...649 650...738 865...932 1209...1246 1659...1711 1828...1882 2135...2205 2320...2359 2393...2425 2465...2554 2575...2634 2649...2747 2773...2906 2907...2938 2943...3068	3069
SAMD4A	12.4	10	1452 2501 2675 2803 2832 2881 2915 3028 3940 4264	189...225 590...754 1809...1913 2026...2065 2111...2161 2381...2596 2597...2762 2791...2867 2872...2932 2936...3018 3079...3254 3745...3865 3875...3916 3917...3996 4049...4091 4092...4243 4252...4366	4367
KANK1	6.2	5	20 357 755 783 804	336...489 498...717 754...835 836...869	870
KCNJ2	8.6	7	301 1193 1722 2493 2661 2972 2983	222...284 431...492 559...632 676...753 891...959 1037...1076 1077...1124 1469...1586 1653...1889 1978...2057 2208...2253 2297...2330 2358...2602 2603...2793 2817...2857 2983...3024 3058...3184 3203...3411 3576...3724	3725
ITGA5	2	2	745 970		1032
BTG2	2.3	2	101 1664	76...185 487...540 1938...1978 1999...2163	2164
MUM1L1	4.9	4	490 621 851 1405	36...105 106...146 147...228 229...684 912...952 995...1058 1134...1276 1372...1432	1433
RNF135	0	0		581...623	1221
TMEM130	1	1	1480	439...478 809...871 1009...1043 1176...1214	1568
RXFP3	0	0			87
ZNF554	2.6	2	320 881	144...183 305...343 448...480 613...657 876...920	921
KPNA7	0	0		96...133	134
TACC2	1.3	1	330	112...232 324...360 395...485	486
EDN1	5.4	4	612 953 968 981	463...596 602...639 711...796 824...918 920...1013 1014...1126	1127
DFFB	3.9	3	1242 1268 1574	62...109 111...231 305...340 822...861 990...1028 1239...1303 1536...1687	1688
DMRT1	2.3	2	421 641	61...148 149...183 215...309 322...375 376...442 461...530 550...620 694...745 774...924 925...950	951
RTKN2	11.9	8	30 341 417 1004 1008 1088 1263 1387	1...546 579...622 627...668 701...796 848...906 930...988 1003...1155 1169...1486	1487
RNF122	2.6	2	957 973	714...745 746...789 829...868 944...997	998
PFKP	0	0		44...118 183...222	223
ELP4	3.6	3	294 465 514	40...101 105...141 142...271 333...408 409...605	606
MYO1B	5.2	4	359 557 968 1076	47...101 110...196 284...385 504...586 639...768 769...1012 1057...1213 1280...1423	1424
FAM65A	1.3	1	277	110...148 261...322	323
HSD17B1	1.3	1	264	243...274	275
AEN	6.7	4	774 899 903 1926	772...802 890...925 1067...1142 1363...1434 1917...1987	1988
KCNG1	0	0		343...382	383
CXCR4	1.3	1	155	3...201 480...517	518
IER2	0	0		330...382 1019...1049	1050
SALL1	6.5	5	179 290 493 592 1048	165...313 334...389 408...450 477...532 540...1031 1033...1136	1137
GSTA1	0	0		42...99 100...193	194
RGMB	5.2	4	289 853 2202 2219	6...127 187...250 257...347 617...724 832...907 1318...1352 1490...1569 1670...1709 1965...2022 2029...2106 2107...2171 2187...2243 2244...2281 2310...2346 2348...2401 2533...2585 2638...2685 2686...2740	2741
ZNF572	3.3	3	51 225 1409	211...303 312...379 399...442 443...531 540...597 698...741 750...862 920...960 961...1002 1003...1047 1186...1224 1285...1369 1425...1457 1470...1530	1531
NAALAD2	5.2	4	392 637 815 952	146...230 231...290 292...386 387...486 541...697 786...880 937...1089 1105...1146	1147
TGFB2	9.1	7	292 469 1106 1472 1929 2854 2882	103...148 247...372 456...512 513...570 600...640 733...1186 1211...1261 1262...1296 1298...1349 1385...1686 1690...1759 1765...1877 1895...2006 2060...2118 2174...2382 2383...2418 2465...2726 2839...2906 3211...3256	3257
GALNT3	6.5	5	128 339 477 840 1144	3...67 68...236 242...369 379...445 470...1189	1190
MED20	1	1	697	490...527 649...693 833...880 1090...1129 1637...1717	1718
EPB41L4A	6.2	5	789 1192 1567 1659 1908	66...179 299...338 469...565 717...786 787...884 1135...1178 1179...1239 1410...1469 1646...1691 1792...1840 1907...1940 2337...2368	2369
EHF	3.6	3	98 380 744	38...122 155...319 327...407 786...816 1176...1246 1321...1396 1397...1463 1496...1577 1908...2004 2031...2065	2126
